EventNum,Event,,,,,,
0,Load,,,,,,
1,Store,,,,,,
2,Replacement,,,,,,
3,OwnData,,,,,,
4,Invalidation,,,,,,
,,,,,,,
ActionNum,Action,,,,,,
0,Stall,,,,,,
1,Hit,,,,,,
2,GetS,,,,,,
3,GetM,,,,,,
4,SendData,,,,,,
5,Fault,,,,,,
,,,,,,,
StateNum,State,,,,,,
0,I,,,,,,
1,IS_d,,,,,,
2,IS_dI,,,,,,
3,IM_d,,,,,,
4,IM_dI,,,,,,
5,S,,,,,,
6,SM_d,,,,,,
7,M,,,,,,
,,,,,,,
State,stable,isDataValid,Load,Store,Replacement,OwnData,Invalidation
I,1,0,GetS/IS_d,GetM/IM_d,,Fault/,
IS_d,0,1,Stall/,Stall/,Stall/,Hit/S,IS_dI
IS_dI,0,1,Stall/,Stall/,Stall/,Hit/I,
IM_d,0,1,Stall/,Stall/,Stall/,Hit/M,IM_dI
IM_dI,0,1,Stall/,Stall/,Stall/,Hit/SendData/I,
S,1,1,Hit/,GetM/SM_d,I,Fault/,I
SM_d,0,1,Hit/,Stall/,Stall/,Hit/M,IM_dI
M,1,1,Hit/,Hit/,SendData/I,Fault/,SendData/I